time,cmd_lin_x,cmd_ang_z
1746638362.4806519,0.15,0.0
1746638362.8003337,0.15,0.0
1746638363.173575,0.15,0.0
1746638363.5012648,0.15,0.0
1746638363.974778,0.15,0.0
1746638364.3852813,0.15,0.0
1746638364.666181,0.15,0.0
1746638364.9003694,0.15,0.0
1746638365.3071363,0.15,0.0
1746638365.603049,0.15,0.0
1746638365.9939744,0.15,0.0
1746638366.3083184,0.15,0.0
1746638366.6859775,0.15,0.0
1746638367.0051262,0.15,0.0
1746638367.2892783,0.15,0.0
1746638367.5107648,0.15,0.0
1746638367.8146796,0.15,0.0
1746638368.1872282,0.15,0.0
1746638368.4858217,0.15,0.0
1746638368.8100333,0.15,0.0
1746638369.1066918,0.15,0.0
1746638369.3820984,0.15,0.0
1746638369.8112185,0.15,0.0
1746638370.0904775,0.15,0.0
1746638370.3874555,0.15,0.0
1746638370.8778656,0.15,0.0
1746638371.2647586,0.15,0.0
1746638371.6061738,0.15,0.0
1746638372.098493,0.15,0.0
1746638372.4936717,0.15,0.0
1746638373.0127301,0.15,0.0
1746638373.317238,0.15,0.0
1746638373.7074137,0.15,0.0
1746638374.2268884,0.15,0.0
1746638374.5902116,0.15,0.0
1746638374.9729915,0.15,0.0
1746638375.3654342,0.15,0.0
1746638375.704468,0.15,0.0
1746638376.2038894,0.15,0.0
1746638376.6390822,0.15,0.0
1746638376.9833114,0.15,0.0
1746638377.4045408,0.15,0.0
1746638377.7042606,0.15,0.0
1746638378.0683641,0.15,0.0
1746638378.3927011,0.15,0.0
1746638378.872206,0.15,0.0
1746638379.184477,0.15,0.0
1746638379.468499,0.15,0.0
1746638379.8118513,0.15,0.0
1746638380.1890707,0.15,0.0
1746638380.567787,0.15,0.0
1746638380.8784614,0.15,0.0
1746638381.1973724,0.15,0.0
1746638381.5168948,0.15,0.0
1746638381.8962553,0.15,0.0
1746638382.1957667,0.15,0.0
1746638382.5690565,0.15,0.0
1746638382.8729675,0.15,0.0
1746638383.1841226,0.15,0.0
1746638383.577259,0.15,0.0
1746638383.8962169,0.15,0.0
1746638384.2076192,0.15,0.0
1746638384.5831902,0.15,0.0
1746638384.9792454,0.15,0.0
1746638385.414727,0.15,0.0
1746638385.7783818,0.15,0.0
1746638386.1958032,0.15,0.0
